Taxon,Ocelli state
Acanthocera_marginalis,2
Chrysops_furcatus,2
Chrysops_sackeni,3
Chrysops_flavidus,3
Chrysops_aestuans,3
Chrysops_upsilon,3
Chrysops_NA,3
Chrysops_vittatus,3
Tabanus_striatus,4
Tabanus_nigrovittatus,4
Tabanus_superjumentarius,1
Tabanus_atratus,1
Hybomitra_affinis,5
Hybomitra_polaris,5
Hybomitra_liorhina,5
Hybomitra_epistates,5
Hybomitra_frontalis,5
Hybomitra_species,5
Stibasoma_currani,1
